ch_0,ch_1,ch_2
-0.03208760608686134,0.003094463181696483,-0.02043379208771512
-0.030359437005245127,0.0031963452329364372,-0.021777843357995152
-0.02978264819830656,0.0029591155907837674,-0.020711102479253896
-0.030379562304005958,0.001188431951959501,-0.01980019260372501
-0.030381823307834566,0.001508260766058811,-0.019768893253058195
-0.03010103500855621,0.0029741415801254334,-0.019521225112839602
-0.02906693407567218,0.004733476998808328,-0.019445027646725066
-0.02747993858065456,0.006294658760452876,-0.019068544133915566
-0.02568587296991609,0.005235349362919806,-0.018470027498551644
-0.024902150471461937,0.003153222678520251,-0.01856205562944524
-0.02519650115573313,0.003918151378456969,-0.017108834072132595
-0.024824134015943855,0.005846499789186055,-0.01448860075470293
-0.022964561139815487,0.005630309715343174,-0.011942623132199515
-0.021261401343508624,0.004309303221816663,-0.009867581866274122
-0.02131609471689444,0.0036816459214605857,-0.0110775599750923
-0.021565287170233205,0.0016172073173947865,-0.012892523955088109
-0.020407966076163575,-0.0018887894839281216,-0.012547437108878512
-0.020193792806821875,-0.0042002470763691235,-0.012245695870660711
-0.020981960915378295,-0.004780426024808548,-0.013052761460130569
-0.020299356037867256,-0.0041492553464195225,-0.01616502777324058
-0.018468872440280393,-0.0029426721539493883,-0.019938219338655472
-0.019009030438610353,-0.002863974714273354,-0.02353854142711498
-0.021698886484955437,-0.004725118287751684,-0.026208545023109764
-0.02265914372401312,-0.005974809027975425,-0.02734926965786144
-0.020678939108620398,-0.005725933988287579,-0.02716525887080934
-0.01901492396427784,-0.00443734415966901,-0.02837535612343345
-0.019841856556013227,-0.004947669367538765,-0.032283056498272344
-0.021584908608929254,-0.006800395112804836,-0.03514324635034427
-0.022648306185146794,-0.008256541150331032,-0.03853491216432303
-0.02239851346530486,-0.008849224286677781,-0.041300201701233163
-0.0231786380027188,-0.008106599125312641,-0.04265001552994363
-0.024349012164748274,-0.005431799763755407,-0.04148450534557924
-0.025509843908366747,-0.0033112623896158766,-0.04034360608784482
-0.02578256680862978,-0.0031918341392156435,-0.04200753755867481
-0.025115754397120327,-0.0055700579650874715,-0.04477785114431754
-0.02404364749963861,-0.007322303645196371,-0.04461185380932875
-0.02345384746149648,-0.006612090601265663,-0.04090704896952957
-0.022274418370216154,-0.005329134637577226,-0.03774015203816816
-0.020775691154995002,-0.004521319624473108,-0.03579826807253994
-0.020906367353745736,-0.0032175514661503257,-0.0356934433511924
-0.022528796762344427,-0.0019412591427681036,-0.03637950067059137
-0.02249850149382837,-0.0010030804560301476,-0.03675145489978604
-0.02129019412677735,-0.00034240406421304215,-0.03492154064588249
-0.020786128516192548,-0.0007995926125659025,-0.032526317227166146
-0.019601975509431213,-0.0039679625842836685,-0.03147214374621399
-0.02011405013035983,-0.005190396223042626,-0.03191083305864595
-0.022020678443368524,-0.004182183602097211,-0.032156902307178825
-0.02281052184116561,-0.0042287610995117575,-0.030600178433815017
-0.022472822820418514,-0.004789252670889255,-0.028175720217404887
-0.021198124159127474,-0.004072438514413079,-0.026289706511306576
-0.02064208638330456,-0.003972258582507493,-0.02524436240491923
-0.01941061236720998,-0.005186117959965486,-0.0245041537709767
-0.017870619558379985,-0.005814723408548161,-0.02434689668007195
-0.017033076801453717,-0.004386472483020043,-0.025072333301068284
-0.017269307136302814,-0.0029054615424684016,-0.025993635063059628
-0.019053450159844942,-0.002504695885363617,-0.026646117476047948
-0.0214566844078945,-0.0023325167148868786,-0.025862902475637384
-0.022416472347686067,-0.0037044503642391646,-0.02602043423394207
-0.021142481273273006,-0.004665394499170361,-0.026910665837931447
-0.020759271137649193,-0.005309691005095374,-0.02628760012157727
-0.020842093363171443,-0.005809798494738061,-0.02342625339224469
-0.020809560737689026,-0.005301453711581416,-0.020821949874516577
-0.02237096123280935,-0.005056436748418491,-0.019393210095586255
-0.024239991034846753,-0.004568958047457272,-0.0172501659108093
-0.024905975806177594,-0.003727457624336239,-0.015871590221649967
-0.026053356123156846,-0.004172088665654883,-0.015338053344748914
-0.027206033337279223,-0.005507919922820292,-0.014715806173626333
-0.026898685973719694,-0.005241785402176902,-0.013970750842418056
-0.025011735488078557,-0.004199312570563052,-0.013273493095766753
-0.025626497517805547,-0.00411891051044222,-0.013203380149207078
-0.025165323677356355,-0.0032451523566123797,-0.015148999409575481
-0.026303765480406582,-0.003406005816941615,-0.01708868148853071
