Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used.1,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
40.0,-16389.662491,-10555.991299,-822.879472,-22471.795675,4382.528887,4898.340094,-6649.9569,719.234433,5770.907494,-9559.7964,-6209.627534,2923.384657,731.349079,4460.98351,-26063.810416,-10840.685468,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.262654,0.0
42.0,-16313.331284,-10478.184876,-768.452974,-22402.617026,4437.603585,4934.281699,-6589.562486,769.414099,5730.070857,-9674.483201,-6321.632126,2830.446104,634.275452,4360.758288,-26182.498179,-10944.397562,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.262666,0.0
44.0,-16292.968845,-10456.079001,-749.386936,-22377.828941,4451.461667,4937.857978,-6574.318597,792.391693,5788.051282,-9506.420434,-6174.200019,2961.85201,770.397576,4498.623848,-26015.642406,-10801.435805,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.262678,0.0
46.0,-16409.063805,-10572.844514,-846.214693,-22492.403983,4358.210189,4889.511155,-6666.87717,701.665962,5735.524682,-9661.78741,-6304.756559,2843.007784,646.323043,4384.473489,-26169.57887,-10929.176024,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.26269,0.0
48.0,-16248.310059,-10414.191832,-712.618317,-22343.876641,4486.285685,4963.786002,-6535.314803,827.97567,5770.460459,-9583.198676,-6237.76838,2905.078579,710.897232,4436.821274,-26087.123285,-10870.882675,0.002,-0.014,1.008,192.0,0.0,0.0,127.5,104.0,15.5,48.0,0.0,0.0,0.0,1770887447.262702,0.0
50.0,-16397.954988,-10556.706554,-829.540292,-22481.630442,4379.667864,4898.094225,-6655.611891,715.121712,5767.77825,-9559.975214,-6215.841319,2921.507111,727.415172,4460.067089,-26058.311887,-10842.875939,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.262715,0.0
52.0,-16318.628647,-10480.509458,-771.246942,-22411.37891,4428.528777,4938.997917,-6593.45169,768.184753,5729.042677,-9678.685329,-6325.297812,2826.5569,637.672918,4366.055651,-26178.117237,-10949.449056,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.262727,0.0
54.0,-16282.061193,-10452.972108,-741.429715,-22378.946528,4458.614225,4944.228225,-6569.155344,800.505376,5787.760709,-9507.895649,-6171.428403,2960.309739,770.375224,4494.444072,-26007.953406,-10803.223944,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.74257,0.0
56.0,-16403.967607,-10568.664738,-842.191379,-22493.968605,4355.460925,4888.348864,-6667.860647,704.526985,5738.18454,-9659.239311,-6298.296904,2846.91934,654.503781,4388.340341,-26163.67801,-10932.215861,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.742627,0.0
58.0,-16232.350914,-10392.309474,-700.593078,-22327.783385,4488.856135,4963.182505,-6526.999954,841.409068,5779.177639,-9571.061679,-6230.414656,2914.354553,717.960384,4438.095324,-26086.072753,-10874.28014,0.002,-0.014,1.008,192.0,0.0,0.0,127.5,80.0,15.5,56.0,0.0,0.0,0.0,1770887447.742674,0.0
60.0,-16389.304863,-10550.671583,-825.919309,-22472.7568,4372.224733,4900.307047,-6652.974385,720.642593,5777.545962,-9545.223063,-6205.47011,2938.047402,741.139143,4478.373167,-26058.133073,-10839.009087,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.742722,0.0
62.0,-16317.958095,-10483.571647,-772.789213,-22403.734613,4429.109923,4937.902682,-6595.440995,766.307207,5730.003802,-9680.11584,-6327.980021,2832.614223,634.990708,4370.593056,-26187.750839,-10949.694926,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.742766,0.0
64.0,-16289.057289,-10452.86035,-745.20716,-22371.257528,4457.742507,4950.553769,-6571.614036,791.318809,5793.460404,-9503.090024,-6175.854048,2967.842277,779.584143,4508.346857,-26008.579255,-10799.245334,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.742814,0.0
66.0,-16419.457366,-10580.824087,-850.215656,-22494.616806,4353.493971,4897.222507,-6672.956845,686.712645,5731.590775,-9665.11782,-6313.831367,2840.124409,652.536828,4385.904001,-26169.668277,-10919.497719,0.002,-0.014,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.742872,0.0
68.0,-16252.243966,-10415.510585,-715.367581,-22334.332446,4485.659836,4968.211647,-6534.286622,819.660821,5761.877389,-9587.46786,-6250.531226,2898.887145,704.906965,4439.436428,-26087.324451,-10857.24811,0.003,-0.014,1.005,192.0,0.0,16.0,127.5,72.0,15.5,40.0,0.0,0.0,0.0,1770887447.742897,0.0
70.0,-16408.080328,-10572.28572,-839.352708,-22481.518684,4353.471619,4888.751196,-6659.612853,704.32582,5757.228226,-9560.243435,-6221.831587,2922.244718,725.671735,4468.203124,-26061.575241,-10831.007162,0.003,-0.014,1.005,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.742909,0.0
72.0,-16333.470205,-10503.755272,-782.087538,-22415.089299,4426.159492,4922.569385,-6599.821937,754.617245,5716.302182,-9699.450099,-6343.268614,2814.285793,620.640888,4359.439535,-26193.897568,-10947.504455,0.003,-0.014,1.005,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770887447.742922,0.0
