Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used.1,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
174.0,19707.510734,10339.447598,5892.299818,5616.747512,4887.633608,6568.328329,-15700.938189,-17985.286472,-7710.569526,-7048.667317,5776.584837,19951.144749,7480.078337,18240.923374,6794.505631,-2858.542247,-0.001125,-0.013813,1.004719,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921053,0.0
176.0,19595.059108,10223.173824,5771.019253,5505.122901,4761.614473,6449.506456,-15812.339284,-18098.922741,-8024.209204,-7349.410039,5469.471868,19656.45935,7171.132525,17928.736559,6496.758043,-3164.604683,0.004,-0.016,1.004,192.0,0.0,16.0,127.5,64.0,15.5,48.0,0.0,0.0,0.0,1771318166.921064,0.0
178.0,19827.874878,10472.395774,6028.444294,5758.122296,5014.747979,6701.991761,-15555.629498,-17848.02441,-7781.178687,-7110.693408,5713.530566,19896.226513,7408.440996,18164.50276,6722.801235,-2918.534329,0.004,-0.016,1.004,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921075,0.0
180.0,19536.184613,10181.8678,5732.127217,5458.85479,4720.889595,6412.111987,-15856.103999,-18150.264698,-7881.649778,-7212.32679,5612.679495,19792.760288,7317.156472,18069.865473,6638.870435,-3017.150225,0.004,-0.016,1.004,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921086,0.0
182.0,19790.435706,10429.726294,5980.142174,5699.538374,4961.170848,6658.785839,-15612.224115,-17901.422727,-7982.120869,-7310.808576,5507.93922,19688.981138,7217.199471,17975.474057,6534.286622,-3119.07418,0.004,-0.016,1.004,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921096,0.0
184.0,19712.003435,10343.448561,5894.803213,5618.669762,4877.865896,6565.176733,-15699.485326,-17983.900664,-7726.059285,-7054.657585,5771.667453,19948.708409,7472.210523,18231.13331,6781.452213,-2867.393537,0.004,-0.016,1.004,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921107,0.0
186.0,19584.889064,10231.354562,5779.982302,5503.647685,4763.044985,6452.76981,-15811.556972,-18100.286198,-8021.370533,-7346.101981,5473.696348,19658.135731,7181.481383,17934.436254,6500.893116,-3161.542494,0.004,-0.016,1.004,192.0,0.0,0.0,127.5,80.0,15.5,56.0,0.0,0.0,0.0,1771318166.921124,0.0
188.0,19842.559974,10482.766984,6035.529797,5755.35068,5013.026895,6710.597183,-15556.590623,-17845.521014,-7779.859934,-7108.726455,5715.162243,19892.426716,7415.884127,18176.527998,6725.595203,-2916.254451,0.004,-0.016,1.004,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921134,0.0
190.0,19542.644267,10174.69289,5740.553825,5457.200761,4719.190862,6414.45892,-15855.031115,-18145.839053,-7870.093926,-7205.330694,5625.419989,19794.70489,7331.461588,18078.068564,6644.145446,-3010.80233,0.004,-0.016,1.004,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921145,0.0
192.0,19787.060593,10410.83907,5981.863258,5688.675426,4956.007595,6637.216406,-15619.19786,-17908.172954,-7984.423099,-7334.233205,5507.514537,19678.185246,7216.618325,17966.376897,6524.071875,-3134.027497,0.004,-0.016,1.004,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921156,0.0
194.0,19714.283313,10339.760523,5906.224955,5617.172196,4884.996102,6556.437201,-15696.132564,-17982.000766,-7713.005866,-7070.661434,5774.260256,19938.225441,7478.916046,18209.921504,6784.134422,-2873.853192,0.004,-0.016,1.004,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921167,0.0
196.0,19610.258294,10241.256385,5791.605209,5510.532023,4774.109098,6454.803819,-15805.164374,-18090.563189,-7996.358931,-7348.448914,5491.778909,19661.130865,7199.474537,17939.085417,6513.566555,-3153.67468,-0.004,-0.008,1.008,192.0,127.5,112.0,127.5,96.0,15.5,64.0,0.0,0.0,0.0,1771318166.921178,0.0
198.0,19851.813597,10484.242199,6036.110942,5759.865732,5015.507938,6712.944116,-15557.551748,-17844.023448,-7772.081527,-7117.734208,5712.122406,19891.130315,7415.638258,18171.007117,6717.10154,-2926.536253,-0.004,-0.008,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921188,0.0
200.0,19535.804634,10176.145753,5730.294374,5455.636138,4717.380371,6410.145034,-15863.882406,-18153.550405,-7871.055051,-7205.91184,5621.19551,19803.287959,7330.478112,18084.841142,6642.759638,-3008.410693,-0.004,-0.008,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921199,0.0
202.0,19799.041128,10436.72239,5990.960418,5714.491691,4972.749051,6663.904388,-15603.663397,-17893.621968,-7980.578599,-7314.809539,5512.275459,19687.617682,7223.122683,17976.815161,6533.727829,-3113.955631,-0.004,-0.008,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.92121,0.0
204.0,19698.972368,10331.110398,5891.159879,5611.293687,4871.987387,6550.581044,-15705.833221,-17993.869542,-7722.706523,-7066.436954,5767.353567,19933.531574,7474.691567,18216.470565,6776.780698,-2871.841535,-0.004,-0.008,1.008,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921221,0.0
206.0,19584.57614,10217.250611,5773.902628,5500.25022,4753.858418,6445.863121,-15817.837813,-18106.052948,-8023.471597,-7367.224379,5468.689557,19643.316524,7174.328825,17921.382835,6491.371273,-3170.527896,-0.004,-0.012,1.012,192.0,127.5,112.0,127.5,80.0,15.5,80.0,0.0,0.0,0.0,1771318166.921233,0.0
208.0,19854.719323,10480.241237,6046.21393,5767.219456,5022.884014,6715.581622,-15547.58287,-17835.440378,-7769.645187,-7121.824577,5720.191386,19896.293568,7423.573127,18167.632004,6724.969354,-2915.718009,-0.004,-0.012,1.012,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318166.921245,0.0
210.0,19560.637422,10181.286655,5742.565482,5458.295996,4721.493092,6415.397694,-15854.360563,-18140.720503,-7851.318461,-7203.296686,5640.775638,19809.099413,7347.823065,18088.104497,6655.544836,-3000.095844,-0.004,-0.012,1.012,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.402342,0.0
212.0,19798.951721,10420.785596,5982.310293,5699.73954,4956.454629,6642.491417,-15612.447633,-17901.400376,-7975.46005,-7324.107864,5516.857566,19682.85676,7222.139206,17965.438123,6530.553881,-3122.650459,-0.004,-0.012,1.012,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.4024,0.0
214.0,19703.107441,10345.929604,5899.050045,5618.5133,4876.63655,6559.901721,-15697.317207,-17983.855961,-7726.975706,-7077.52342,5764.112564,19936.772577,7466.466125,18203.32774,6772.131535,-2877.138898,-0.004,-0.012,1.012,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.402443,0.0
216.0,19593.449783,10227.286545,5785.503183,5509.86147,4766.531857,6453.909749,-15809.657074,-18097.805154,-8012.519242,-7351.645214,5481.161831,19660.996754,7187.494002,17929.697684,6503.932953,-3154.836971,-0.002,-0.006,1.014,192.0,127.5,120.0,127.5,104.0,15.5,88.0,0.0,0.0,0.0,1771318167.402481,0.0
218.0,19855.613393,10484.331606,6038.39082,5758.256407,5014.546813,6703.466976,-15558.758743,-17845.409256,-7773.199114,-7115.946068,5718.738522,19891.018556,7420.734456,18168.637832,6720.923689,-2921.663573,-0.002,-0.006,1.014,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.402533,0.0
220.0,19553.350753,10183.074794,5744.063049,5465.828534,4722.700086,6403.618324,-15852.058333,-18134.931402,-7861.644967,-7204.548383,5630.247966,19800.717509,7333.987335,18075.364003,6643.43019,-3012.635173,-0.002,-0.006,1.014,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.402587,0.0
222.0,19800.225771,10438.577585,5988.009988,5706.467415,4964.165981,6646.7606,-15607.686711,-17890.000986,-7981.249151,-7316.038885,5517.617526,19697.832429,7213.08675,17965.974565,6527.826968,-3124.885634,-0.002,-0.006,1.014,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.402599,0.0
224.0,19708.963598,10334.619622,5888.187097,5609.41614,4874.602541,6556.817181,-15710.974122,-17993.981301,-7714.21286,-7047.996765,5781.725738,19958.051438,7475.451526,18248.187691,6785.542582,-2858.721061,-0.002,-0.006,1.014,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.40261,0.0
226.0,19596.780192,10241.166978,5787.872468,5508.430959,4779.406462,6457.016642,-15810.394682,-18097.11225,-8037.128513,-7359.66949,5461.201723,19645.708161,7167.779764,17915.504326,6490.477203,-3168.963274,-0.002,-0.004,1.012,192.0,127.5,120.0,127.5,112.0,15.5,80.0,0.0,0.0,0.0,1771318167.402621,0.0
228.0,19858.563824,10491.752385,6042.972927,5760.536285,5030.461255,6715.738084,-15555.584795,-17842.950564,-7762.157352,-7091.336798,5729.422656,19909.369339,7426.411799,18186.608635,6736.279337,-2907.53727,-0.002,-0.004,1.012,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.402632,0.0
230.0,19556.144721,10182.113669,5744.532435,5463.392194,4736.33465,6417.118778,-15853.93588,-18140.407579,-7870.205685,-7198.692226,5629.689172,19802.975035,7328.064123,18079.05204,6649.129885,-3012.098731,-0.002,-0.004,1.012,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.402644,0.0
232.0,19799.555218,10430.687419,5985.573648,5705.349827,4971.229133,6663.435002,-15612.224115,-17897.935855,-7977.471707,-7318.363466,5518.668058,19698.61474,7217.758264,17974.401173,6540.098076,-3115.900232,-0.002,-0.004,1.012,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.402655,0.0
234.0,19716.026749,10352.165741,5899.63119,5621.061399,4886.985408,6575.011501,-15700.446451,-17983.96772,-7716.157462,-7053.428239,5777.769479,19948.037857,7472.791669,18238.196461,6788.649474,-2858.139915,-0.002,-0.004,1.012,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.402667,0.0
236.0,19602.077556,10226.660696,5775.869581,5498.059749,4764.296682,6446.913653,-15822.576382,-18106.768204,-8018.151881,-7355.44501,5471.349415,19643.607097,7174.552342,17925.361446,6496.534526,-3163.66591,0.0,-0.009,1.007,192.0,0.0,8.0,127.5,72.0,15.5,40.0,0.0,0.0,0.0,1771318167.402679,0.0
238.0,19874.031231,10502.771795,6048.51616,5774.617884,5032.048229,6726.57868,-15547.538167,-17832.64641,-7766.672405,-7106.558336,5722.895947,19894.39367,7422.857871,18185.625158,6728.411523,-2912.544061,0.0,-0.009,1.007,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.40269,0.0
240.0,19566.046544,10209.360446,5741.112619,5470.90238,4727.483359,6420.337429,-15854.159397,-18137.703018,-7861.779077,-7181.123755,5635.29946,19816.49784,7335.753123,18100.308549,6651.677984,-3000.341713,0.0,-0.009,1.007,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771318167.402701,0.0
